TTID,Test Name,SCID,SC Name,FPCID,FPC Name
7.C,1.1.1- decorative-background-image,1.1.1,Non-text Content,302.1,Without Vision
7.C,1.1.1- decorative-background-image,1.1.1,Non-text Content,302.2,With Limited Vision
7.C,1.1.1- decorative-background-image,1.1.1,Non-text Content,302.9,"With Limited Language, Cognitive, and Learning Abilities"
7.D,1.1.1-captcha-alternative,1.1.1,Non-text Content,302.1,Without Vision
7.D,1.1.1-captcha-alternative,1.1.1,Non-text Content,302.2,With Limited Vision
7.D,1.1.1-captcha-alternative,1.1.1,Non-text Content,302.4,Without Hearing
7.D,1.1.1-captcha-alternative,1.1.1,Non-text Content,302.5,With Limited Hearing
7.D,1.1.1-captcha-alternative,1.1.1,Non-text Content,302.9,"With Limited Language, Cognitive, and Learning Abilities"
7.B,1.1.1-decorative-image,1.1.1,Non-text Content,302.1,Without Vision
7.B,1.1.1-decorative-image,1.1.1,Non-text Content,302.2,With Limited Vision
7.B,1.1.1-decorative-image,1.1.1,Non-text Content,302.9,"With Limited Language, Cognitive, and Learning Abilities"
7.A,1.1.1-meaningful-image-name,1.1.1,Non-text Content,302.1,Without Vision
7.A,1.1.1-meaningful-image-name,1.1.1,Non-text Content,302.2,With Limited Vision
7.A,1.1.1-meaningful-image-name,1.1.1,Non-text Content,302.9,"With Limited Language, Cognitive, and Learning Abilities"
16.A,1.2.1-audio-transcript-text,1.2.1,Audio-only and Video-only,302.4,Without Hearing
16.A,1.2.1-audio-transcript-text,1.2.1,Audio-only and Video-only,302.5,With Limited Hearing
16.A,1.2.1-audio-transcript-text,1.2.1,Audio-only and Video-only,302.9,"With Limited Language, Cognitive, and Learning Abilities"
16.B,1.2.1-video- alternative-equivalent,1.2.1,Audio-only and Video-only,302.1,Without Vision
16.B,1.2.1-video- alternative-equivalent,1.2.1,Audio-only and Video-only,302.2,With Limited Vision
16.B,1.2.1-video- alternative-equivalent,1.2.1,Audio-only and Video-only,302.9,"With Limited Language, Cognitive, and Learning Abilities"
17.A,1.2.2-captions-equivalent,1.2.2,Captions (Prerecorded),302.4,Without Hearing
17.A,1.2.2-captions-equivalent,1.2.2,Captions (Prerecorded),302.5,With Limited Hearing
17.A,1.2.2-captions-equivalent,1.2.2,Captions (Prerecorded),302.9,"With Limited Language, Cognitive, and Learning Abilities"
17.C,1.2.4-captions-live-equivalent,1.2.4,Captions (Live),302.4,Without Hearing
17.C,1.2.4-captions-live-equivalent,1.2.4,Captions (Live),302.5,With Limited Hearing
17.C,1.2.4-captions-live-equivalent,1.2.4,Captions (Live),302.9,"With Limited Language, Cognitive, and Learning Abilities"
17.B,1.2.5-audio-description-equivalent,1.2.5,Audio Description (Prerecorded),302.1,Without Vision
17.B,1.2.5-audio-description-equivalent,1.2.5,Audio Description (Prerecorded),302.2,With Limited Vision
17.B,1.2.5-audio-description-equivalent,1.2.5,Audio Description (Prerecorded),302.9,"With Limited Language, Cognitive, and Learning Abilities"
5.C,1.3.1-programmatic-label,1.3.1,Info and Relationships,302.1,Without Vision
5.C,1.3.1-programmatic-label,1.3.1,Info and Relationships,302.2,With Limited Vision
5.C,1.3.1-programmatic-label,1.3.1,Info and Relationships,302.9,"With Limited Language, Cognitive, and Learning Abilities"
10.B,1.3.1-heading-determinable,1.3.1,Info and Relationships,302.1,Without Vision
10.B,1.3.1-heading-determinable,1.3.1,Info and Relationships,302.2,With Limited Vision
10.B,1.3.1-heading-determinable,1.3.1,Info and Relationships,302.9,"With Limited Language, Cognitive, and Learning Abilities"
10.C,1.3.1-heading-level,1.3.1,Info and Relationships,302.1,Without Vision
10.C,1.3.1-heading-level,1.3.1,Info and Relationships,302.2,With Limited Vision
10.C,1.3.1-heading-level,1.3.1,Info and Relationships,302.9,"With Limited Language, Cognitive, and Learning Abilities"
10.D,1.3.1-list-type,1.3.1,Info and Relationships,302.1,Without Vision
10.D,1.3.1-list-type,1.3.1,Info and Relationships,302.2,With Limited Vision
10.D,1.3.1-list-type,1.3.1,Info and Relationships,302.9,"With Limited Language, Cognitive, and Learning Abilities"
14.B,1.3.1-cell-header-association,1.3.1,Info and Relationships,302.1,Without Vision
14.B,1.3.1-cell-header-association,1.3.1,Info and Relationships,302.2,With Limited Vision
14.B,1.3.1-cell-header-association,1.3.1,Info and Relationships,302.9,"With Limited Language, Cognitive, and Learning Abilities"
14.C,1.3.1-layout-table-structure,1.3.1,Info and Relationships,302.1,Without Vision
14.C,1.3.1-layout-table-structure,1.3.1,Info and Relationships,302.2,With Limited Vision
14.C,1.3.1-layout-table-structure,1.3.1,Info and Relationships,302.9,"With Limited Language, Cognitive, and Learning Abilities"
14.A,1.3.1-table-identification,1.3.1,Info and Relationships,302.1,Without Vision
14.A,1.3.1-table-identification,1.3.1,Info and Relationships,302.2,With Limited Vision
14.A,1.3.1-table-identification,1.3.1,Info and Relationships,302.9,"With Limited Language, Cognitive, and Learning Abilities"
15.A,1.3.1-meaningful-content-css-before-after,1.3.1,Info and Relationships,302.1,Without Vision
15.A,1.3.1-meaningful-content-css-before-after,1.3.1,Info and Relationships,302.2,With Limited Vision
15.A,1.3.1-meaningful-content-css-before-after,1.3.1,Info and Relationships,302.9,"With Limited Language, Cognitive, and Learning Abilities"
15.B,1.3.2-content-order-meaning-css-position,1.3.2,Meaningful Sequence,302.1,Without Vision
15.B,1.3.2-content-order-meaning-css-position,1.3.2,Meaningful Sequence,302.2,With Limited Vision
15.B,1.3.2-content-order-meaning-css-position,1.3.2,Meaningful Sequence,302.9,"With Limited Language, Cognitive, and Learning Abilities"
13.B,1.3.3-sensory-info,1.3.3,Sensory Characteristics,302.1,Without Vision
13.B,1.3.3-sensory-info,1.3.3,Sensory Characteristics,302.2,With Limited Vision
13.B,1.3.3-sensory-info,1.3.3,Sensory Characteristics,302.3,Without Perception of Color
13.B,1.3.3-sensory-info,1.3.3,Sensory Characteristics,302.4,Without Hearing
13.B,1.3.3-sensory-info,1.3.3,Sensory Characteristics,302.5,With Limited Hearing
13.A,1.4.1-color-meaning,1.4.1,Use of Color,302.1,Without Vision
13.A,1.4.1-color-meaning,1.4.1,Use of Color,302.2,With Limited Vision
13.A,1.4.1-color-meaning,1.4.1,Use of Color,302.3,Without Perception of Color
2.A,1.4.2-audio-control,1.4.2,Audio Control,302.1,Without Vision
2.A,1.4.2-audio-control,1.4.2,Audio Control,302.2,With Limited Vision
2.A,1.4.2-audio-control,1.4.2,Audio Control,302.5,With Limited Hearing
2.A,1.4.2-audio-control,1.4.2,Audio Control,302.9,"With Limited Language, Cognitive, and Learning Abilities"
13.C,1.4.3-contrast,1.4.3,Contrast (Minimum),302.2,With Limited Vision
13.C,1.4.3-contrast,1.4.3,Contrast (Minimum),302.3,Without Perception of Color
18.A,1.4.4-resize-text,1.4.4,Resize text,302.2,With Limited Vision
7.E,1.4.5-image-of-text,1.4.5,Images of Text,302.1,Without Vision
7.E,1.4.5-image-of-text,1.4.5,Images of Text,302.2,With Limited Vision
7.E,1.4.5-image-of-text,1.4.5,Images of Text,302.3,Without Perception of Color
7.E,1.4.5-image-of-text,1.4.5,Images of Text,302.9,"With Limited Language, Cognitive, and Learning Abilities"
4.A,2.1.1-keyboard-access,2.1.1,Keyboard,302.1,Without Vision
4.A,2.1.1-keyboard-access,2.1.1,Keyboard,302.2,With Limited Vision
4.A,2.1.1-keyboard-access,2.1.1,Keyboard,302.7,With Limited Manipulation
4.B,2.1.1-no-keystroke-timing,2.1.1,Keyboard,302.1,Without Vision
4.B,2.1.1-no-keystroke-timing,2.1.1,Keyboard,302.9,"With Limited Language, Cognitive, and Learning Abilities"
4.B,2.1.1-no-keystroke-timing,2.1.1,Keyboard,302.2,With Limited Vision
4.B,2.1.1-no-keystroke-timing,2.1.1,Keyboard,302.7,With Limited Manipulation
4.C,2.1.2-no-keyboard-trap,2.1.2,No Keyboard Trap,302.1,Without Vision
4.C,2.1.2-no-keyboard-trap,2.1.2,No Keyboard Trap,302.2,With Limited Vision
4.C,2.1.2-no-keyboard-trap,2.1.2,No Keyboard Trap,302.7,With Limited Manipulation
8.A,2.2.1-timing-adjustable,2.2.1,Timing Adjustable,302.1,Without Vision
8.A,2.2.1-timing-adjustable,2.2.1,Timing Adjustable,302.2,With Limited Vision
8.A,2.2.1-timing-adjustable,2.2.1,Timing Adjustable,302.7,With Limited Manipulation
8.A,2.2.1-timing-adjustable,2.2.1,Timing Adjustable,302.9,"With Limited Language, Cognitive, and Learning Abilities"
2.C,2.2.2-auto-updating,2.2.2,"Pause, Stop, Hide",302.1,Without Vision
2.C,2.2.2-auto-updating,2.2.2,"Pause, Stop, Hide",302.2,With Limited Vision
2.C,2.2.2-auto-updating,2.2.2,"Pause, Stop, Hide",302.9,"With Limited Language, Cognitive, and Learning Abilities"
2.B,2.2.2-blinking-moving-scrolling,2.2.2,"Pause, Stop, Hide",302.2,With Limited Vision
2.B,2.2.2-blinking-moving-scrolling,2.2.2,"Pause, Stop, Hide",302.9,"With Limited Language, Cognitive, and Learning Abilities"
2.B,2.2.2-blinking-moving-scrolling,2.2.2,"Pause, Stop, Hide",N/A-Flash,Photosensitive Epilepsy / Photosensitive Seizure Disorders
3.A,2.3.1-flashing,2.3.1,Three Flashes or Below Threshold,N/A-Flash,Photosensitive Epilepsy / Photosensitive Seizure Disorders
9.A,2.4.1-bypass-function,2.4.1,Bypass Blocks,302.1,Without Vision
9.A,2.4.1-bypass-function,2.4.1,Bypass Blocks,302.2,With Limited Vision
9.A,2.4.1-bypass-function,2.4.1,Bypass Blocks,302.7,With Limited Manipulation
9.A,2.4.1-bypass-function,2.4.1,Bypass Blocks,302.9,"With Limited Language, Cognitive, and Learning Abilities"
12.A,2.4.2-page-title-defined,2.4.2,Page Titled,302.1,Without Vision
12.A,2.4.2-page-title-defined,2.4.2,Page Titled,302.2,With Limited Vision
12.A,2.4.2-page-title-defined,2.4.2,Page Titled,302.7,With Limited Manipulation
12.A,2.4.2-page-title-defined,2.4.2,Page Titled,302.9,"With Limited Language, Cognitive, and Learning Abilities"
12.B,2.4.2-page-title-purpose,2.4.2,Page Titled,302.1,Without Vision
12.B,2.4.2-page-title-purpose,2.4.2,Page Titled,302.2,With Limited Vision
12.B,2.4.2-page-title-purpose,2.4.2,Page Titled,302.7,With Limited Manipulation
12.B,2.4.2-page-title-purpose,2.4.2,Page Titled,302.9,"With Limited Language, Cognitive, and Learning Abilities"
4.F,2.4.3-focus-order-meaning,2.4.3,Focus Order,302.1,Without Vision
4.F,2.4.3-focus-order-meaning,2.4.3,Focus Order,302.2,With Limited Vision
4.F,2.4.3-focus-order-meaning,2.4.3,Focus Order,302.7,With Limited Manipulation
4.F,2.4.3-focus-order-meaning,2.4.3,Focus Order,302.9,"With Limited Language, Cognitive, and Learning Abilities"
4.H,2.4.3-focus-order-return,2.4.3,Focus Order,302.1,Without Vision
4.H,2.4.3-focus-order-return,2.4.3,Focus Order,302.2,With Limited Vision
4.H,2.4.3-focus-order-return,2.4.3,Focus Order,302.7,With Limited Manipulation
4.H,2.4.3-focus-order-return,2.4.3,Focus Order,302.9,"With Limited Language, Cognitive, and Learning Abilities"
4.G,2.4.3-focus-order-reveal,2.4.3,Focus Order,302.1,Without Vision
4.G,2.4.3-focus-order-reveal,2.4.3,Focus Order,302.2,With Limited Vision
4.G,2.4.3-focus-order-reveal,2.4.3,Focus Order,302.7,With Limited Manipulation
4.G,2.4.3-focus-order-reveal,2.4.3,Focus Order,302.9,"With Limited Language, Cognitive, and Learning Abilities"
6.A,2.4.4-link-purpose,2.4.4,Link Purpose (In Context),302.1,Without Vision
6.A,2.4.4-link-purpose,2.4.4,Link Purpose (In Context),302.2,With Limited Vision
6.A,2.4.4-link-purpose,2.4.4,Link Purpose (In Context),302.7,With Limited Manipulation
6.A,2.4.4-link-purpose,2.4.4,Link Purpose (In Context),302.9,"With Limited Language, Cognitive, and Learning Abilities"
19.A,2.4.5-multiple-ways,2.4.5,Multiple Ways,302.1,Without Vision
19.A,2.4.5-multiple-ways,2.4.5,Multiple Ways,302.2,With Limited Vision
19.A,2.4.5-multiple-ways,2.4.5,Multiple Ways,302.7,With Limited Manipulation
19.A,2.4.5-multiple-ways,2.4.5,Multiple Ways,302.9,"With Limited Language, Cognitive, and Learning Abilities"
